Title,20年IF,21年IF,即时IF,桑格预测IF,JCR分区,中科院分区,警告信息
WILEY INTERDISCIPLINARY REVIEWS-COGNITIVE SCIENCE,3.476,5.071,1.98,4.81,Q1,心理学-2区,
WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE,7.385,10.072,4.93,12.27,Q1,环境科学与生态学-2区,
WILDLIFE SOCIETY BULLETIN,1.583,1.739,0.79,1.83,Q3,环境科学与生态学-4区,
WILDLIFE RESEARCH,2.511,2.178,1.19,2.31,Q3,生物学-3区,
WILDLIFE MONOGRAPHS,2.6,5.4,3,>6.75,Q1,生物学-3区,
WILDLIFE BIOLOGY,1.402,2.242,1.1,>2.80,Q3,生物学-4区,
WILDFOWL,-,1.094,0.49,<0.82,Q3,生物学-4区,
WILDERNESS & ENVIRONMENTAL MEDICINE,1.518,1.479,0.8,1.48,Q4,医学-4区,
WIENER TIERARZTLICHE MONATSSCHRIFT,0.348,0.292,0.04,<0.22,Q4,农林科学-4区,
WIENER MEDIZINISCHE WOCHENSCHRIFT,-,-,0.54,N/A,,,
WIENER KLINISCHE WOCHENSCHRIFT,1.704,2.275,1.58,>2.84,Q3,医学-4区,
WETLANDS ECOLOGY AND MANAGEMENT,1.379,2.134,1.18,>2.67,Q4,环境科学与生态学-4区,
WETLANDS,2.204,2.074,1.12,2.39,Q4,环境科学与生态学-4区,
WESTMINSTER PAPERS IN COMMUNICATION & CULTURE,-,-,0.29,N/A,,,
WESTERN PACIFIC SURVEILLANCE AND RESPONSE,-,-,0.53,N/A,,,
WESTERN NORTH AMERICAN NATURALIST,0.569,0.484,0.26,0.42,Q4,环境科学与生态学-4区,
WESTERN JOURNAL OF NURSING RESEARCH,1.967,1.774,0.97,>2.22,Q3,医学-3区,
WESTERN JOURNAL OF LEGAL STUDIES,-,-,N/A,N/A,,,
WESTERN JOURNAL OF EMERGENCY MEDICINE,2.453,3.985,1.65,>4.98,Q2,医学-4区,
WESTERN JOURNAL OF COMMUNICATION,-,-,0.76,N/A,,,
WESTERN HISTORICAL QUARTERLY,-,-,0.08,N/A,,,
WESTERN FOLKLORE,-,-,0.07,N/A,,,
WESTERN AMERICAN LITERATURE,-,-,0.07,N/A,,,
WESTERLY,-,-,N/A,N/A,,,
WEST INDIAN MEDICAL JOURNAL,0.171,0.206,0.06,0.21,Q4,医学-4区,
WEST EUROPEAN POLITICS,3.96,4.055,2.64,4.92,Q1,法学-1区,
WEST AFRICAN JOURNAL OF RADIOLOGY,-,-,0.05,N/A,,,
WEST 86TH-A JOURNAL OF DECORATIVE ARTS DESIGN HISTORY AND MATERIAL CULTURE,-,-,0.06,N/A,,,
WESLEY AND METHODIST STUDIES,-,-,N/A,N/A,,,
WENSHAN REVIEW OF LITERATURE AND CULTURE,-,-,N/A,N/A,,,
WELT DES ORIENTS,-,-,0.04,N/A,,,
WELT DES ISLAMS,-,-,0.12,N/A,,,
WELT DER SLAVEN-HALBJAHRESSCHRIFT FUR SLAVISTIK,-,-,0.08,N/A,,,
WELSH HISTORY REVIEW,-,-,0.05,N/A,,,
WELDING JOURNAL,1.833,2.217,1.38,>2.77,Q2,材料科学-4区,
WELDING IN THE WORLD,2.103,1.984,1.22,>2.48,Q2,材料科学-3区,
WEIMARER BEITRAGE,-,-,N/A,N/A,,,
WEED TECHNOLOGY,1.703,1.807,0.67,1.36,Q3,农林科学-3区,
WEED SCIENCE,2.713,2.58,1.38,2.41,Q2,农林科学-2区,
WEED RESEARCH,2.424,2.117,0.82,1.6,Q3,农林科学-2区,
WEED BIOLOGY AND MANAGEMENT,1.059,1.815,0.82,>2.27,Q3,农林科学-4区,
WEB INTELLIGENCE,-,-,0.13,N/A,,,
WEB ECOLOGY,1.545,2,1.29,>2.50,Q4,环境科学与生态学-4区,
WEATHER CLIMATE AND SOCIETY,2.746,3.019,1.08,<2.26,Q3,地球科学-3区,
WEATHER AND FORECASTING,3.025,3.374,1.46,3.13,Q3,地球科学-3区,
WEATHER AND CLIMATE EXTREMES,5.338,7.761,4.81,>9.70,Q1,地球科学-2区,
WEATHER,1.596,2.239,0.69,1.72,Q4,地球科学-4区,
WEAR,3.892,4.695,2.69,5.01,Q2,工程技术-2区,
WAVES IN RANDOM AND COMPLEX MEDIA,4.853,4.051,2.41,>5.06,Q2,物理与天体物理-2区,
WAVE MOTION,2.02,2.174,1.3,2.11,Q3,物理与天体物理-3区,
WATERBIRDS,0.534,0.536,0.05,<0.40,Q4,生物学-4区,
WATER SUPPLY,1.275,1.768,0.93,>2.21,Q4,地球科学-4区,
WATER SCIENCE AND TECHNOLOGY,1.915,2.43,1.5,>3.04,Q4,环境科学与生态学-4区,
WATER SCIENCE AND ENGINEERING,-,-,2.11,N/A,,,
WATER SA,1.247,1.586,0.95,>1.98,Q4,环境科学与生态学-4区,
WATER REUSE,-,-,1.5,N/A,,,
WATER RESOURCES RESEARCH,5.24,6.159,2.95,6.67,Q1,地球科学-1区,
WATER RESOURCES MANAGEMENT,3.517,4.426,2.63,>5.53,Q1,环境科学与生态学-3区,
WATER RESOURCES AND IRRIGATION MANAGEMENT-WRIM,-,-,0.5,N/A,,,
WATER RESOURCES AND INDUSTRY,-,4.206,2.93,N/A,Q2,,
WATER RESOURCES AND ECONOMICS,2.371,2.848,1.29,2.96,Q3,环境科学与生态学-4区,
WATER RESOURCES,0.616,0.919,0.46,>1.15,Q4,环境科学与生态学-4区,
WATER RESEARCH X,-,9.365,4.31,N/A,Q1,,
WATER RESEARCH,11.236,13.4,7.08,>16.75,Q1,环境科学与生态学-1区,
WATER QUALITY RESEARCH JOURNAL OF CANADA,1.447,1.965,1,1.9,Q4,环境科学与生态学-4区,
WATER QUALITY RESEARCH JOURNAL,-,-,1,N/A,,,
WATER PRACTICE AND TECHNOLOGY,-,-,0.87,N/A,,,
WATER POLICY,1.434,1.733,0.97,2,Q4,环境科学与生态学-4区,
WATER INTERNATIONAL,2.663,3.395,1.02,2.64,Q2,环境科学与生态学-4区,
WATER ENVIRONMENT RESEARCH,1.946,3.306,1.69,>4.13,Q3,环境科学与生态学-4区,
WATER ECONOMICS AND POLICY,1.133,1.333,0.63,1.15,Q4,环境科学与生态学-4区,
WATER CONSERVATION SCIENCE AND ENGINEERING,-,-,1.38,N/A,,,
WATER AND ENVIRONMENT JOURNAL,2.07,1.977,1.11,>2.47,Q4,环境科学与生态学-4区,
WATER ALTERNATIVES-AN INTERDISCIPLINARY JOURNAL ON WATER POLITICS AND DEVELOPMENT,2.085,2.24,1.45,2.78,Q4,环境科学与生态学-4区,
WATER AIR AND SOIL POLLUTION,2.52,2.984,1.52,>3.73,Q3,环境科学与生态学-4区,
WATER,3.103,3.53,1.97,>4.41,Q3,环境科学与生态学-4区,中科院-低-2020
WASTE MANAGEMENT & RESEARCH,3.549,4.432,2.1,>5.54,Q2,环境科学与生态学-4区,
WASTE MANAGEMENT,7.145,8.816,4.71,10.17,Q1,环境科学与生态学-1区,
WASTE AND BIOMASS VALORIZATION,3.703,3.449,1.89,4.04,Q3,环境科学与生态学-4区,
WASSERWIRTSCHAFT,0.112,0.14,0.09,0.12,Q4,环境科学与生态学-4区,
WASHINGTON QUARTERLY,1.5,2.013,1.01,2.48,Q2,法学-3区,
WASHINGTON LAW REVIEW,1,0.89,0.57,>1.11,Q3,法学-4区,
WASHINGTON INTERNATIONAL LAW JOURNAL,-,-,0.19,N/A,,,
WASAFIRI,-,-,0.11,N/A,,,
WARTAZOA-BULETIN ILMU PETERNAKAN DAN KESEHATAN HEWAN INDONESIA,-,-,0.15,N/A,,,
WAR IN HISTORY,0.558,0.171,0.12,<0.13,Q4,人文科学-3区,
WAR & SOCIETY,0.364,0.5,0.12,<0.38,Q3,人文科学-4区,
WALT WHITMAN QUARTERLY REVIEW,-,-,0.07,N/A,,,
WALLACE STEVENS JOURNAL,-,-,N/A,N/A,,,
WAFFEN-UND KOSTUMKUNDE,-,-,N/A,N/A,,,
WACANA-JURNAL ILMU PENGETAHUAN BUDAYA-JOURNAL OF THE HUMANITIES OF INDONESIA,-,-,0.04,N/A,,,
WACANA SENI-JOURNAL OF ART DISCOURSE,-,-,0.07,N/A,,,
VULNERABLE CHILDREN AND YOUTH STUDIES,-,-,0.56,N/A,,,
VULCAN,-,-,0.25,N/A,,,
VSWG-VIERTELJAHRSCHRIFT FUR SOZIAL-UND WIRTSCHAFTSGESCHICHTE,-,-,0.07,N/A,,,
VOX SANGUINIS,2.144,2.996,1.25,2.74,Q3,医学-4区,
VOX JURIS,-,-,N/A,N/A,,,
VOPROSY YAZYKOZNANIYA,-,-,0.12,N/A,,,
VOPROSY PSIKHOLOGII,0.493,0.349,0.02,<0.26,Q4,心理学-4区,
VOPROSY ONOMASTIKI-PROBLEMS OF ONOMASTICS,-,-,N/A,N/A,,,
VOPROSY OBRAZOVANIYA-EDUCATIONAL STUDIES MOSCOW,-,-,0.26,N/A,,,
VOPROSY LEKSIKOGRAFII-RUSSIAN JOURNAL OF LEXICOGRAPHY,-,-,N/A,N/A,,,
VOPROSY ISTORII,-,-,0.01,N/A,,,
VOPROSY GOSUDARSTVENNOGO I MUNITSIPALNOGO UPRAVLENIYA-PUBLIC ADMINISTRATION ISSUES,-,-,0.12,N/A,,,
VOPROSY FILOSOFII,-,-,0.09,N/A,,,
VOPROSY EKONOMIKI,-,-,0.33,N/A,,,
VOLUNTAS,2.468,2.794,1.33,3.27,Q2,法学-3区,
VOLUNTARY SECTOR REVIEW,-,-,0.44,N/A,,,
VOLGOGRADSKII GOSUDARSTVENNYI UNIVERSITET-VESTNIK-SERIYA 4-ISTORIYA REGIONOVEDENIE MEZHDUNARODNYE OTNOSHENIYA,-,-,0.06,N/A,,,
VOJNOSANITETSKI PREGLED,0.168,0.245,0.11,0.27,Q4,医学-4区,
VOJENSKE ROZHLEDY-CZECH MILITARY REVIEW,-,-,0.02,N/A,,,
VOIX PLURIELLES,-,-,N/A,N/A,,,
VOIX & IMAGES,-,-,N/A,N/A,,,
VOICE AND SPEECH REVIEW,-,-,0.3,N/A,,,
VOCATIONS AND LEARNING,1.804,1.821,1.62,>2.28,Q3,教育学-4区,
VLDB JOURNAL,2.868,4.243,1.53,4.96,Q2,计算机科学-2区,
VLC ARQUITECTURA-RESEARCH JOURNAL,-,-,0.04,N/A,,,
VLAAMS DIERGENEESKUNDIG TIJDSCHRIFT,0.369,0.205,0.17,>0.26,Q4,农林科学-4区,
VJESNIK ARHEOLOSKOG MUZEJA U ZAGREBU,-,-,N/A,N/A,,,
VIZANTIISKII VREMENNIK,-,-,N/A,N/A,,,
VIVAT ACADEMIA,-,-,0.3,N/A,,,
VIVARIUM-AN INTERNATIONAL JOURNAL FOR THE PHILOSOPHY AND INTELLECTUAL LIFE OF THE MIDDLE AGES AND RENAISSANCE,-,-,0.05,N/A,,,
VITRUVIO-INTERNATIONAL JOURNAL OF ARCHITECTURAL TECHNOLOGY AND SUSTAINABILITY,-,-,0.27,N/A,,,
VITIS,1.339,1.182,0.72,<0.89,Q3,农林科学-4区,
VITAMINS AND HORMONES,3.421,2.247,1.08,1.87,Q4,医学-3区,
VISUAL STUDIES,-,-,0.33,N/A,,,
VISUAL RESOURCES,-,-,0.13,N/A,,,
VISUAL NEUROSCIENCE,3.241,1.895,1,1.57,Q4,医学-4区,
VISUAL INQUIRY-LEARNING & TEACHING ART,-,-,0.07,N/A,,,
VISUAL INFORMATICS,-,-,1.58,N/A,,,
VISUAL ETHNOGRAPHY,-,-,0.02,N/A,,,
VISUAL COMPUTING FOR INDUSTRY BIOMEDICINE AND ART,-,-,1.15,N/A,,,
VISUAL COMPUTER,2.601,2.835,2.02,>3.54,Q2,计算机科学-3区,
VISUAL COMMUNICATION QUARTERLY,-,-,0.23,N/A,,,
VISUAL COMMUNICATION,1.043,1.79,0.63,1.7,Q4,人文科学-4区,
VISUAL ANTHROPOLOGY REVIEW,-,-,0.24,N/A,,,
VISUAL ANTHROPOLOGY,-,-,0.11,N/A,,,
VISNYK OF V N KARAZIN KHARKIV NATIONAL UNIVERSITY-SERIES GEOLOGY GEOGRAPHY ECOLOGY,-,-,0.07,N/A,,,
VISNYK OF TARAS SHEVCHENKO NATIONAL UNIVERSITY OF KYIV-GEOLOGY,-,-,0.08,N/A,,,
VISNYK NTUU KPI SERIIA-RADIOTEKHNIKA RADIOAPARATOBUDUVANNIA,-,-,0.22,N/A,,,
VISITOR STUDIES,-,-,0.69,N/A,,,
VISION-THE JOURNAL OF BUSINESS PERSPECTIVE,-,-,1.32,N/A,,,
VISION RESEARCH,1.886,1.984,1.06,1.68,Q4,心理学-4区,
VISION GERENCIAL,-,-,N/A,N/A,,,
VISCERAL MEDICINE,1.96,2.186,1.07,2.72,Q4,医学-4区,
VIRUSES-BASEL,5.048,5.818,2.77,5.08,Q2,医学-3区,
VIRUS RESEARCH,3.303,6.286,3.17,7.8,Q2,医学-3区,
VIRUS GENES,2.332,2.198,0.9,<1.65,Q4,医学-4区,
VIRUS EVOLUTION,7.989,5.614,4,>7.02,Q2,医学-2区,
VIRULENCE,5.882,5.428,2.8,6.31,Q2,生物学-2区,
VIRTUALIDAD EDUCACION Y CIENCIA,-,-,0.04,N/A,,,
VIRTUAL REALITY,5.095,4.697,2.03,4.75,Q2,计算机科学-2区,
VIRTUAL ARCHAEOLOGY REVIEW,-,-,1.38,N/A,,,
VIRTUAL AND PHYSICAL PROTOTYPING,8.092,10.962,6.41,10.7,Q1,工程技术-2区,
VIROLOGY JOURNAL,4.099,5.913,2.89,6.74,Q2,医学-3区,
VIROLOGY,3.616,3.513,2.21,3.6,Q3,医学-3区,
VIROLOGIE,0.474,0.804,0.28,<0.60,Q4,医学-4区,
VIROLOGICA SINICA,4.327,6.947,2.63,6.56,Q2,医学-2区,
VIRGINIA LAW REVIEW,2.069,2.475,1.02,2.61,Q1,法学-2区,
VIREF-REVISTA DE EDUCACION FISICA,-,-,0.02,N/A,,,
VIRCHOWS ARCHIV,4.064,4.535,1.98,4.3,Q2,医学-3区,
VIRAL IMMUNOLOGY,2.257,2.175,1.34,2.57,Q4,医学-4区,
VIRAL HEPATIT DERGISI-VIRAL HEPATITIS JOURNAL,-,-,0.05,N/A,,,
VIRAJES-REVISTA DE ANTROPOLOGIA Y SOCIOLOGIA,-,-,0.02,N/A,,,
VIOLENCE AND VICTIMS,1.393,1.317,0.7,1.48,Q4,医学-4区,
VIOLENCE AND GENDER,-,-,0.89,N/A,,,
VIOLENCE AGAINST WOMEN,2.328,2.586,1.16,3.09,Q2,法学-3区,
VINGTIEME SIECLE-REVUE D HISTOIRE,-,-,N/A,N/A,,,
VINE JOURNAL OF INFORMATION AND KNOWLEDGE MANAGEMENT SYSTEMS,-,-,1.73,N/A,,,
VINCULOS DE HISTORIA,-,-,0.06,N/A,,,
VIGILIAE CHRISTIANAE,-,-,N/A,N/A,,,
VIGILANCIA SANITARIA EM DEBATE-SOCIEDADE CIENCIA & TECNOLOGIA,-,-,0.12,N/A,,,
VIEW,-,-,4.85,N/A,,,
VIETNAM JOURNAL OF MATHEMATICS,-,-,0.48,N/A,,,
VIETNAM JOURNAL OF EARTH SCIENCES,-,-,0.89,N/A,,,
VIETNAM JOURNAL OF COMPUTER SCIENCE,-,-,0.47,N/A,,,
VIETNAM JOURNAL OF CHEMISTRY,-,-,0.47,N/A,,,
VIERTELJAHRSHEFTE FUR ZEITGESCHICHTE,-,-,0.07,N/A,,,
VIE ET MILIEU-LIFE AND ENVIRONMENT,0.236,0.534,0.42,>0.67,Q4,环境科学与生态学-4区,
VIDEOSURGERY AND OTHER MINIINVASIVE TECHNIQUES,1.195,1.627,0.98,>2.03,Q4,医学-4区,
VIDEO-ASSISTED THORACIC SURGERY,-,-,0.04,N/A,,,
VICTORIOGRAPHIES-A JOURNAL OF NINETEENTH-CENTURY WRITING 1790-1914,-,-,0.07,N/A,,,
VICTORIAN STUDIES,-,-,0.26,N/A,,,
VICTORIAN REVIEW-AN INTERDISCIPLINARY JOURNAL OF VICTORIAN STUDIES,-,-,0.05,N/A,,,
VICTORIAN POETRY,-,-,0.04,N/A,,,
VICTORIAN PERIODICALS REVIEW,-,-,0.08,N/A,,,
VICTORIAN LITERATURE AND CULTURE,-,-,0.05,N/A,,,
VICTORIAN HISTORICAL JOURNAL,-,-,N/A,N/A,,,
VICTIMS & OFFENDERS,1.789,2.045,1.04,>2.56,Q2,法学-3区,
VIBRATIONAL SPECTROSCOPY,2.507,2.382,1.36,2.73,Q4,化学-3区,
VIBRATION,-,-,1.04,N/A,,,
VIAL-VIGO INTERNATIONAL JOURNAL OF APPLIED LINGUISTICS,0.333,0.917,0.62,>1.15,Q3,人文科学-4区,
VIA ATLANTICA,-,-,N/A,N/A,,,
VETUS TESTAMENTUM,-,-,0.07,N/A,,,
VETERINARY WORLD,-,-,0.85,N/A,,,
VETERINARY SURGERY,1.495,1.618,1.04,>2.02,Q2,农林科学-2区,
VETERINARY SCIENCES,-,-,1.36,N/A,Q2,农林科学-3区,
VETERINARY RESEARCH FORUM,1.054,0.95,0.53,1.18,Q4,农林科学-4区,
VETERINARY RESEARCH COMMUNICATIONS,2.459,2.816,1.27,3.04,Q1,农林科学-3区,
VETERINARY RESEARCH,3.699,3.829,2.63,>4.79,Q1,农林科学-2区,
VETERINARY RECORD OPEN,-,-,0.67,N/A,,,
VETERINARY RECORD CASE REPORTS,-,-,0.15,N/A,,,
VETERINARY RECORD,2.695,2.56,0.85,2.82,Q1,农林科学-3区,
VETERINARY RADIOLOGY & ULTRASOUND,1.363,1.318,0.99,>1.65,Q3,农林科学-3区,
VETERINARY QUARTERLY,3.32,8.071,3.79,6.66,Q1,农林科学-3区,
VETERINARY PATHOLOGY,2.221,3.157,1.21,3.3,Q3,农林科学-2区,
VETERINARY PARASITOLOGY- REGIONAL STUDIES AND REPORTS,-,-,0.82,N/A,,,
VETERINARY PARASITOLOGY,2.738,2.821,1.45,3.3,Q2,农林科学-2区,
VETERINARY OPHTHALMOLOGY,1.644,1.444,0.58,<1.08,Q3,农林科学-4区,
VETERINARY MICROBIOLOGY,3.293,3.246,1.93,3.35,Q3,农林科学-2区,
VETERINARY MEDICINE-RESEARCH AND REPORTS,-,-,0.79,N/A,,,
VETERINARY MEDICINE AND SCIENCE,1.95,1.772,0.92,2.19,Q2,农林科学-3区,
VETERINARY JOURNAL,2.688,2.75,1.16,2.08,Q1,农林科学-2区,
VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,2.046,1.943,1,1.6,Q4,农林科学-3区,
VETERINARY DERMATOLOGY,1.589,1.867,0.82,1.85,Q3,农林科学-3区,
VETERINARY CLINICS OF NORTH AMERICA-SMALL ANIMAL PRACTICE,2.093,2.148,1.06,2.06,Q2,农林科学-2区,
VETERINARY CLINICS OF NORTH AMERICA-FOOD ANIMAL PRACTICE,3.357,4.69,2.51,5.26,Q1,农林科学-2区,
VETERINARY CLINICS OF NORTH AMERICA-EQUINE PRACTICE,1.792,2.203,0.51,<1.65,Q2,农林科学-2区,
VETERINARY CLINICAL PATHOLOGY,1.18,1.333,0.65,>1.67,Q3,农林科学-4区,
VETERINARY AND COMPARATIVE ORTHOPAEDICS AND TRAUMATOLOGY,1.358,1.083,0.75,>1.35,Q3,农林科学-3区,
VETERINARY AND COMPARATIVE ONCOLOGY,2.613,2.385,1.24,2.69,Q2,农林科学-2区,
VETERINARY AND ANIMAL SCIENCE,-,-,0.96,N/A,,,
VETERINARY ANAESTHESIA AND ANALGESIA,1.648,1.763,0.83,1.79,Q2,农林科学-2区,
VETERINARSKI ARHIV,0.496,0.409,0.22,>0.51,Q4,农林科学-4区,
VETERINARNI MEDICINA,0.565,0.746,0.35,0.9,Q4,农林科学-4区,
VETERINARIA Y ZOOTECNIA,-,-,N/A,N/A,,,
VETERINARIA MEXICO,0.5,0.341,N/A,<0.26,Q4,农林科学-4区,
VETERINARIA ITALIANA,1.101,1.434,0.35,<1.08,Q3,农林科学-4区,
VESTNIK VOLGOGRADSKOGO GOSUDARSTVENNOGO UNIVERSITETA-SERIYA 2-YAZYKOZNANIE,-,-,0.1,N/A,,,
VESTNIK UGROVEDENIYA-BULLETIN OF UGRIC STUDIES,-,-,0.17,N/A,,,
VESTNIK UDMURTSKOGO UNIVERSITETA-MATEMATIKA MEKHANIKA KOMPYUTERNYE NAUKI,-,-,0.18,N/A,,,
VESTNIK TRANSPLANTOLOGII I ISKUSSTVENNYH ORGANOV,-,-,0.07,N/A,,,
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA-UPRAVLENIE VYCHISLITELNAJA TEHNIKA I INFORMATIKA-TOMSK STATE UNIVERSITY JOURNAL OF CONTROL AND COMPUTER SCIENCE,-,-,0.04,N/A,,,
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA-PRAVO-TOMSK STATE UNIVERSITY JOURNAL OF LAW,-,-,0.01,N/A,,,
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA-MATEMATIKA I MEKHANIKA-TOMSK STATE UNIVERSITY JOURNAL OF MATHEMATICS AND MECHANICS,-,-,0.1,N/A,,,
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA-KULTUROLOGIYA I ISKUSSTVOVEDENIE-TOMSK STATE UNIVERSITY JOURNAL OF CULTURAL STUDIES AND ART HISTORY,-,-,0.01,N/A,,,
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA-FILOSOFIYA-SOTSIOLOGIYA-POLITOLOGIYA-TOMSK STATE UNIVERSITY JOURNAL OF PHILOSOPHY SOCIOLOGY AND POLITICAL SCIENCE,-,-,0.02,N/A,,,
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA-BIOLOGIYA,-,-,0.21,N/A,,,
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA ISTORIYA-TOMSK STATE UNIVERSITY JOURNAL OF HISTORY,-,-,0.01,N/A,,,
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA FILOLOGIYA-TOMSK STATE UNIVERSITY JOURNAL OF PHILOLOGY,-,-,0.01,N/A,,,
VESTNIK ST PETERSBURG UNIVERSITY-MATHEMATICS,-,-,0.11,N/A,,,
VESTNIK SLAVIANSKIKH KULTUR-BULLETIN OF SLAVIC CULTURES-SCIENTIFIC AND INFORMATIONAL JOURNAL,-,-,0.02,N/A,,,
VESTNIK SANKT-PETERBURGSKOGO UNIVERSITETA-YAZYK I LITERATURA,-,-,0.06,N/A,,,
VESTNIK SANKT-PETERBURGSKOGO UNIVERSITETA-ISTORIYA,-,-,0.09,N/A,,,
VESTNIK SANKT-PETERBURGSKOGO UNIVERSITETA-ISKUSSTVOVEDENIE,-,-,0.07,N/A,,,
VESTNIK SANKT-PETERBURGSKOGO UNIVERSITETA-FILOSOFIYA I KONFLIKTOLOGIYA,-,-,0.06,N/A,,,
VESTNIK SANKT-PETERBURGSKOGO UNIVERSITETA-EKONOMIKA-ST PETERSBURG UNIVERSITY JOURNAL OF ECONOMIC STUDIES,-,-,0.13,N/A,,,
VESTNIK SANKT-PETERBURGSKOGO UNIVERSITETA SERIYA 10 PRIKLADNAYA MATEMATIKA INFORMATIKA PROTSESSY UPRAVLENIYA,-,-,0.19,N/A,,,
VESTNIK SAMARSKOGO GOSUDARSTVENNOGO TEKHNICHESKOGO UNIVERSITETA-SERIYA-FIZIKO-MATEMATICHESKIYE NAUKI,-,-,0.21,N/A,,,
VESTNIK ROSSIISKOGO UNIVERSITETA DRUZHBY NARODOV-SERIYA LINGVISTIKA-RUSSIAN JOURNAL OF LINGUISTICS,-,-,0.18,N/A,,,
VESTNIK PRAVOSLAVNOGO SVYATO-TIKHONOVSKOGO GUMANITARNOGO UNIVERSITETA-SERIYA I-BOGOSLOVIE-FILOSOFIYA-RELIGIOVEDENIE,-,-,0.01,N/A,,,
VESTNIK PERMSKOGO UNIVERSITETA-JURIDICHESKIE NAUKI,-,-,0.03,N/A,,,
VESTNIK PERMSKOGO UNIVERSITETA-ISTORIYA-PERM UNIVERSITY HERALD-HISTORY,-,-,N/A,N/A,,,
VESTNIK OF SAINT PETERSBURG UNIVERSITY-LAW-VESTNIK SANKT-PETERBURGSKOGO UNIVERSITETA-PRAVO,-,-,0.02,N/A,,,
VESTNIK OF SAINT PETERSBURG UNIVERSITY EARTH SCIENCES,-,-,0.19,N/A,,,
VESTNIK MOSKOVSKOGO UNIVERSITETA. SERIYA 10. ZHURNALISTIKA,-,-,0.02,N/A,,,
VESTNIK MEZHDUNARODNYKH ORGANIZATSII-INTERNATIONAL ORGANISATIONS RESEARCH JOURNAL,-,-,0.33,N/A,,,
VESTNIK DREVNEI ISTORII-JOURNAL OF ANCIENT HISTORY,-,-,N/A,N/A,,,
VERTEBRATE ZOOLOGY,1.757,1.879,1.31,2.13,Q2,生物学-4区,
VERSUS-QUADERNI DI STUDI SEMIOTICI,-,-,0.03,N/A,,,
VERNACULAR ARCHITECTURE,-,-,N/A,N/A,,,
VERIFICHE,-,-,N/A,N/A,,,
VERHALTENSTHERAPIE,0.905,1.186,0.24,<0.89,Q4,医学-4区,
VEREDAS-REVISTA DA ASSOCIACAO INTERNACIONAL DE LUSITANISTAS,-,-,N/A,N/A,,,
VEREDAS DO DIREITO,-,-,0.03,N/A,,,
VERBUM,-,-,N/A,N/A,,,
VERBO DE MINAS,-,-,0.03,N/A,,,
VERBA-ANUARIO GALEGO DE FILOLOXIA,-,-,0.03,N/A,,,
VENTURE CAPITAL,3,3.531,1.28,3.21,Q2,管理学-4区,
VELEIA,-,-,N/A,N/A,,,
VEHICULAR COMMUNICATIONS,6.91,8.373,3.13,7.17,Q1,计算机科学-2区,
VEHICLES,-,-,1.29,N/A,,,
VEHICLE SYSTEM DYNAMICS,4.665,3.749,1.89,3.6,Q2,工程技术-2区,
VEGUETA-ANUARIO DE LA FACULTAD DE GEOGRAFIA E HISTORIA,-,-,0.12,N/A,,,
VEGETATION HISTORY AND ARCHAEOBOTANY,2.375,2.552,1.19,2.52,Q2,地球科学-3区,
VECTOR-BORNE AND ZOONOTIC DISEASES,2.133,2.523,1.05,2.33,Q4,医学-4区,
VAVILOVSKII ZHURNAL GENETIKI I SELEKTSII,-,-,0.42,N/A,,,
VASCULAR PHARMACOLOGY,5.773,5.738,2.3,<4.30,Q1,医学-3区,
VASCULAR MEDICINE,3.53,4.739,1.8,5.43,Q2,医学-3区,
VASCULAR HEALTH AND RISK MANAGEMENT,-,-,1.4,N/A,,,
VASCULAR AND ENDOVASCULAR SURGERY,1.089,1.046,0.45,0.96,Q4,医学-4区,
VASCULAR,1.285,1.105,0.53,1.36,Q4,医学-4区,
VASA-EUROPEAN JOURNAL OF VASCULAR MEDICINE,1.961,2.336,0.82,<1.75,Q4,医学-4区,
VANDERBILT LAW REVIEW,2.452,2.092,0.91,1.9,Q1,法学-2区,
VALUE IN HEALTH REGIONAL ISSUES,-,-,0.96,N/A,,,
VALUE IN HEALTH,5.728,5.101,2.18,5.71,Q1,医学-2区,
VALENCIANA,-,-,N/A,N/A,,,
VAKUUM IN FORSCHUNG UND PRAXIS,-,-,0.02,N/A,,,
VADOSE ZONE JOURNAL,3.289,2.945,1.55,2.9,Q3,地球科学-3区,
VACUUM,3.627,4.11,2.31,3.99,Q2,材料科学-2区,
VACCINES,4.422,4.961,4.76,>6.20,Q2,医学-3区,中科院-低-2021
VACCINE: X,-,-,2.02,N/A,,,
VACCINE,3.641,4.169,3.15,>5.21,Q3,医学-3区,
UTRECHT LAW REVIEW,-,-,0.16,N/A,,,
UTOPIAN STUDIES,-,-,0.09,N/A,,,
UTILITIES POLICY,2.812,3.247,2.23,>4.06,Q3,经济学-4区,
UTILITAS,-,-,0.41,N/A,,,
