question,answers
What is the conclusion of the coronavirus long-term surveillance studies?,Rhinolophus bats seem to harbor a wide diversity of CoVs
What is the mean duration of time from single lobe consolidation to bilateral multilobar lung infiltrates in human adenovirus type 55 (HAdV-55)?,2 days
What is the mean duration of time from first positive chest x-ray to bilateral multilobar lung infiltrates in human adenovirus type 55 (HAdV-55)?,4.8 days
What are the most frequent clinical manifestations of human adenovirus type 55 (HAdV-55) induced ARDS?,"Persistent high fever, dyspnea and rapid progression to respiratory failure within 2 weeks, together with bilateral consolidations and infiltrates"
What do we know about the genomics of human adenovirus type 55 (HAdV-55)?,This pathogen was fully characterized by whole-genome sequencing
What are the clinical symptoms of human adenovirus type 55 (HAdV-55)?,"Flulike symptoms, such as fever, cough and little sputum, were commonly observed at the onset of illness"
What is the mean time from onset of symptoms to dyspnea in human adenovirus type 55 (HAdV-55)?,5 days
What is the mean time of onset of symptoms to ICU admission in human adenovirus type 55 (HAdV-55)?,9.6 days
What is the mean rate of respiration upon admission to the ICU when admitted for human adenovirus type 55 (HAdV-55)?,43 breaths per minute
What is the white blood cell count in severe cases of human adenovirus type 55 (HAdV-55)?, low or in the normal range
What does a chest x-ray look like for a patient with a severe case of human adenovirus type 55 (HAdV-55)?,"CXRs revealed multiple bilateral lobar or segment consolidation in the lungs of all five patients, and radiographic lesions progressed rapidly after ICU admission"
What are the high resolution pulmonary CT scan findings for patients with severe cases of human adenovirus type 55 (HAdV-55)?,"Consolidations within a single lobe or several lobes with a clear border and air bronchogram were the most common findings on HRCT scans. Nodules, patches, pleural effusion, abscess and a cavity were also seen visualized by HRCT"
Where could a clinician acquire a positive viral sample in severe cases of human adenovirus type 55 (HAdV-55)?,"All patients had HAdV-55 viremia. In four of the five patients, it was first detected in endotracheal aspirate (ETA) samples"
How long did it take for patients with positive human adenovirus type 55 (HAdV-55) endotracheal aspirates to develop a measurable viremia?,1 to 10 days
Does blood type play a role in the severity of human adenovirus type 55 (HAdV-55) infection?, HAdV-55 may cause severe ARDS in immunocompetent young men with blood type B
What are the most common clinical manifestations of severe human adenovirus type 55 (HAdV-55) induced ARDS?,"Persistent high fever, dyspnea and rapid progression to respiratory failure within 2 weeks, together with bilateral consolidations and infiltrates at the same time, are the most frequent clinical manifestations"
What is the mortality rate of severe ARDS from human adenovirus type 55 (HAdV-55)?,HAdV-55-induced severe ARDS has a very high mortality rate (80%) despite appropriate respiratory support.
What role does T-cell count play in severe human adenovirus type 55 (HAdV-55) infection?,a lower T-cell count may be a risk factor for HAdV-55 infection in young adults
How successful are the use of invasive mechanical ventilation (IMV) and non-invasive positive pressure ventilation (NPPV) in the treatment of severe ARDS from human adenovirus type 55 infection?,"we found that severe HAdV-55 infection could cause a rapid progression of respiratory failure, with a very high failure rate for NPPV and IMV"
What is the relationship between urbanization and risk of emergence of flu-like diseases?, findings suggest that urbanization spatially combines risk factors to produce particular types of peri-urban landscapes with significantly higher HPAI H5N1 emergence risk.
What factors and characteristics of semi-urban landscapes promote viral transmission?," higher levels of chicken densities, duck and geese flock size diversities, and fraction of land under rice or aquaculture than rural and urban areas. We also found that land-use diversity, a surrogate measure for potential mixing of host populations and other factors that likely influence viral transmission"
What is the relationship between HIN1 viral transmission and poultry production., landscapes where intensive and extensive forms of poultry production overlap were found at greater risk
What is the principle behind infection Convergence Model ?,"The convergence model can be so adapted by incorporating the dynamics of urban, agricultural, and natural ecosystem transformations proposed with this framework. These associated multifaceted interactions including feedbacks that affect ecological communities, hosts and pathogen populations, are the proximate drivers of disease emergence."
What is the Boosted Regression Tree method?,BRT utilizes regression trees and boosting algorithms to fit several models and combines them for improving prediction by performing iterative loop throughout the model 
What is the advantage of Boosted Regression Tree method?,The advantage of BRT is that it applies stochastic processes that include probabilistic components to improve predictive performance.
What is the relationship between land use and emergence of HPAI H5N1?," high land-use diversity landscapes, a variable not previously considered in spatial studies of HPAI H5N1, are at significantly greater risk for HPAI H5N1 outbreaks"
Where is the highest risk of  HPAI H5N1 like disease emergence?,"Emergence risk should be highest in the most rapidly transforming urban areas, peri-urban zones where mixes of urban-rural, modern-traditional land uses and poultry husbandry coincide most intensely."
How does land use fragmentation increase the risk of flu-like diseases?,"Landscape fragmentation produces ecotones, defined as abrupt edges or transitions zones between different ecological systems, thought to facilitate disease emergence by increasing the intensity and frequency of contact between host species [31] Furthermore, fragmentation of natural habitat tends to interrupt and degrade natural processes, including interspecies interactions that regulate densities of otherwise opportunistic species that may serve as competent hosts"
