类别,行政区,点评数,口味,环境,服务,人均消费,城市,Lng,Lat
甜点, 浦东新区,16,7.1,7,7,10,上海市,121.7602873,31.04845444
浙菜, 浦东新区,754,7.9,8.4,7.9,66,上海市,121.760246,31.05133675
川菜, 浦东新区,128,6.5,6.8,6.5,75,上海市,121.7598793,31.19877382
粤菜, 浦东新区,3471,7.7,8,7.5,80,上海市,121.7598793,31.19877382
湾菜, 浦东新区,271,5.7,6.3,6.1,55,上海市,121.7598793,31.19877382
快餐, 浦东新区,145,8.2,8.2,8.1,23,上海市,121.7598793,31.19877382
快餐, 浦东新区,85,7.2,7.2,7.4,37,上海市,121.7598793,31.19877382
西餐, 浦东新区,877,7.3,7.8,6.9,164,上海市,121.7598793,31.19877382
快餐, 浦东新区,44,7.5,7.5,7.4,36,上海市,121.7598793,31.19877382
甜点, 浦东新区,221,8.5,8.5,7.6,77,上海市,121.7598793,31.19877382
甜点, 浦东新区,153,7.9,7.6,7.6,75,上海市,121.7598793,31.19877382
咖啡厅, 浦东新区,223,7.8,7.8,7.5,40,上海市,121.7598793,31.19877382
咖啡厅, 浦东新区,120,7.1,7.3,7,39,上海市,121.7598793,31.19877382
常菜, 浦东新区,0,0,0,0,57,上海市,121.7597989,31.04743777
浙菜, 浦东新区,158,6.9,7.3,7,75,上海市,121.7597842,31.04371593
浙菜, 浦东新区,494,7.3,7,6.8,30,上海市,121.7597526,31.0513285
本菜, 浦东新区,623,7,7.6,7.2,167,上海市,121.7597482,31.04385183
快餐, 浦东新区,4,7.6,7.6,7.6,17,上海市,121.7597413,31.04201689
烧烤, 浦东新区,22,7.6,7.5,7.6,64,上海市,121.7596478,31.04689201
常菜, 浦东新区,40,7.3,7.2,7.4,42,上海市,121.7595871,31.04295227
快餐, 浦东新区,15,7.4,7.4,7.3,30,上海市,121.7593719,31.05515809
咖啡厅, 浦东新区,171,8.1,8.1,8,39,上海市,121.7593238,31.05503814
川菜, 浦东新区,361,7.4,7.3,7.3,95,上海市,121.7592878,31.05530996
火锅, 浦东新区,277,7.5,7.6,7.3,75,上海市,121.7592878,31.05530996
本菜, 浦东新区,39,6.6,6.9,6.6,35,上海市,121.7592878,31.05530996
西餐, 浦东新区,1201,7.7,7.8,7.6,73,上海市,121.7592878,31.05530996
西餐, 黄浦区,35,7.8,7.7,7.7,25,上海市,121.7592458,30.95919746
蟹宴, 浦东新区,85,7.7,7.9,7.3,63,上海市,121.7592247,31.05518101
助餐, 浦东新区,158,7.4,7.2,7.4,59,上海市,121.7592247,31.05518101
甜点, 浦东新区,55,7.8,8,8,14,上海市,121.7592093,31.04872973
快餐, 浦东新区,230,8,8,7.8,27,上海市,121.7589426,31.05398256
龙虾, 浦东新区,0,0,0,0,49,上海市,121.758938,31.03669958
助餐, 浦东新区,364,6.9,7.1,6.7,97,上海市,121.7588918,31.05090831
快餐, 浦东新区,8,7.1,6.9,7.1,25,上海市,121.7588019,31.0489494
甜点, 浦东新区,69,6.8,6.8,6.7,16,上海市,121.7587128,31.04894736
火锅, 浦东新区,406,6.9,7.5,7.2,67,上海市,121.7587,31.04693252
美食, 浦东新区,22,6.9,6.8,7,26,上海市,121.7585702,31.05414829
浙菜, 浦东新区,55,7.3,7,7.2,45,上海市,121.7584181,31.05358354
浙菜, 浦东新区,48,7.5,7.9,7.6,56,上海市,121.7583855,31.1207567
料理, 浦东新区,275,8,7.6,8.1,66,上海市,121.7583801,31.05341362
川菜, 浦东新区,25,6.9,6.7,6.9,48,上海市,121.7583731,31.05333866
火锅, 浦东新区,33,7.4,7.3,7.4,73,上海市,121.7583111,31.05295985
湘菜, 浦东新区,32,6.9,6.8,6.8,72,上海市,121.7583091,31.0532297
火锅, 浦东新区,130,7.6,7.7,7.7,29,上海市,121.758224,31.05285687
咖啡厅, 浦东新区,152,7.8,8.2,7.6,86,上海市,121.758197,31.05260001
龙虾, 浦东新区,63,7.4,7.1,7.4,61,上海市,121.7580519,31.11163955
粤菜, 浦东新区,13,7.2,7.3,7.3,32,上海市,121.7580182,31.04872717
川菜, 浦东新区,62,7.1,6.8,6.9,44,上海市,121.7579861,31.04922387
快餐, 浦东新区,6,6.9,6.6,6.9,19,上海市,121.7579207,31.11273989
咖啡厅, 浦东新区,55,7,7.3,7.2,40,上海市,121.7579007,31.11279685
浙菜, 浦东新区,55,6.8,6.9,6.7,77,上海市,121.7578966,31.11445393
本菜, 浦东新区,22,7.2,7.3,7.2,36,上海市,121.7578646,31.11383226
海鲜, 浦东新区,110,7.3,7.3,7.2,100,上海市,121.7578544,31.21112484
快餐, 浦东新区,171,7.8,7.6,7.9,18,上海市,121.7578064,31.11556029
火锅, 浦东新区,399,8.9,8.6,8.8,91,上海市,121.7576502,31.11606194
火锅, 浦东新区,273,6.9,7.2,6.9,103,上海市,121.7576083,31.11505348
西餐, 浦东新区,179,7.5,7.4,7.3,49,上海市,121.7575936,31.05150537
甜点, 浦东新区,217,7.7,8,7.6,22,上海市,121.7575626,31.05116556
咖啡厅, 浦东新区,25,6.7,7,6.9,21,上海市,121.7574892,31.11512739
火锅, 浦东新区,18,7.9,7.3,7.9,33,上海市,121.7574302,31.090594
浙菜, 浦东新区,220,8.4,9,8.2,90,上海市,121.7573146,31.1791694
西餐, 浦东新区,22,7.4,7.4,7.4,60,上海市,121.757322,31.0559387
甜点, 浦东新区,70,8.7,8.8,8.8,33,上海市,121.757322,31.0559387
湘菜, 浦东新区,1,6.9,6.9,6.9,22,上海市,121.7570725,31.04816408
湘菜, 浦东新区,1,6.9,6.9,6.9,22,上海市,121.7570131,31.05230167
火锅, 浦东新区,24,7.3,7.2,7.3,50,上海市,121.7569657,31.12687075
北菜, 浦东新区,6,6.8,6.8,6.9,43,上海市,121.7565097,31.05179775
快餐, 浦东新区,3,6.9,6.9,6.9,28,上海市,121.7563374,31.05303897
疆菜, 浦东新区,1,7,7,6.9,15,上海市,121.7562673,31.08951114
西餐, 浦东新区,69,7.2,7.3,7.3,64,上海市,121.7560906,31.0490172
甜点, 浦东新区,656,8.1,8,7.9,26,上海市,121.7560906,31.0490172
火锅, 浦东新区,19,7.6,7.4,7.7,29,上海市,121.7559049,31.05508562
浙菜, 浦东新区,190,8.8,9,8.8,143,上海市,121.7558227,31.1048464
快餐, 浦东新区,163,7.4,7,7,16,上海市,121.7558148,31.05534144
海鲜, 浦东新区,34,6.8,6.4,6.6,57,上海市,121.7556429,30.95735201
西餐, 浦东新区,327,7,7.2,7.2,66,上海市,121.7554931,31.04877112
美食, 浦东新区,18,7.2,7.3,7.3,31,上海市,121.755352,31.04873309
西餐, 浦东新区,24,6.9,6.9,7.1,41,上海市,121.7550366,31.11020315
美食, 浦东新区,24,6.6,6.8,7,24,上海市,121.7547991,31.14978167
常菜, 浦东新区,8,7.3,7.3,7.5,30,上海市,121.7547787,31.04784341
浙菜, 浦东新区,32,7,6.6,6.7,60,上海市,121.754753,31.05548399
浙菜, 浦东新区,25,7.1,6.8,7.1,59,上海市,121.7539345,31.15019718
烧烤, 浦东新区,81,7.4,6.6,6.9,20,上海市,121.753909,31.04856572
甜点, 浦东新区,106,7.6,7.6,7.5,28,上海市,121.753668,31.11867706
粤菜, 浦东新区,823,8.1,8.8,8.5,76,上海市,121.7536648,31.04941716
本菜, 浦东新区,19,7.3,7.3,7.3,16,上海市,121.7536188,31.04885447
浙菜, 浦东新区,200,7.2,6.1,6.5,68,上海市,121.7536254,30.95810191
浙菜, 浦东新区,61,7.1,7.1,7.1,94,上海市,121.7534847,31.10856058
浙菜, 浦东新区,10,7.4,7.4,7.4,51,上海市,121.7534071,31.12669062
常菜, 浦东新区,1,7.5,7.1,7.1,30,上海市,121.7533668,31.15359223
快餐, 浦东新区,811,8,8.5,8.2,28,上海市,121.753219,31.04353145
甜点, 浦东新区,92,7.8,8.1,7.9,31,上海市,121.7527736,31.04421293
火锅, 浦东新区,144,8,8.2,8.2,50,上海市,121.7527036,31.04369422
料理, 浦东新区,251,7.5,7.5,7.1,73,上海市,121.7526666,31.04392907
浙菜, 浦东新区,123,6.8,6.6,6.7,68,上海市,121.752583,31.15674937
火锅, 浦东新区,0,0,0,0,50,上海市,121.752582,31.1566934
川菜, 浦东新区,184,7.7,7.8,7.4,70,上海市,121.7524896,31.14932925
川菜, 浦东新区,76,7.2,7.5,7.4,51,上海市,121.7524896,31.14932925
粤菜, 浦东新区,129,6.8,7,7,50,上海市,121.7524896,31.14932925
火锅, 浦东新区,233,7.5,7.5,6.9,101,上海市,121.7524896,31.14932925
川菜, 浦东新区,29,7,7.2,7.3,53,上海市,121.7524735,31.04404595
本菜, 浦东新区,91,7.7,7.4,7.7,39,上海市,121.752367,31.04827248
素菜, 浦东新区,48,8.1,8,8.4,67,上海市,121.7523592,31.04611473
西餐, 浦东新区,659,7.5,7.7,7.4,76,上海市,121.7523064,31.0437321
快餐, 浦东新区,1,7,6.9,6.9,17,上海市,121.7522459,31.04865523
火锅, 浦东新区,167,8.2,8.6,8.9,120,上海市,121.7520542,31.04393192
火锅, 浦东新区,1116,8.1,8.1,8.1,74,上海市,121.7520542,31.04393192
浙菜, 浦东新区,101,7.5,7.2,7.2,55,上海市,121.7519528,30.98852044
湘菜, 浦东新区,17,6.7,7,7,55,上海市,121.7516984,31.14573797
料理, 浦东新区,155,7.6,7.6,7.7,62,上海市,121.7516984,31.14573797
火锅, 浦东新区,10,7.4,7.5,7.6,48,上海市,121.7516926,31.14412682
浙菜, 浦东新区,75,7.2,7.2,7.1,51,上海市,121.7516878,31.04644138
快餐, 松江区,0,0,0,0,28,上海市,121.7515507,31.04673019
川菜, 浦东新区,68,6.8,7.2,6.7,72,上海市,121.7515203,31.14564098
本菜, 浦东新区,279,7.3,7.2,7.3,31,上海市,121.7513648,31.04364294
甜点, 浦东新区,342,8,8.1,8,12,上海市,121.7513532,31.14654847
甜点, 浦东新区,107,7.4,7.4,7.2,31,上海市,121.7512404,31.04830121
快餐, 浦东新区,299,7.4,7.3,7.2,23,上海市,121.7512123,31.04913972
助餐, 浦东新区,1895,7.7,7.8,7.8,52,上海市,121.7511677,31.04427553
甜点, 浦东新区,72,7.4,7.4,7.4,152,上海市,121.7510691,31.05012213
甜点, 浦东新区,95,7.3,7.3,7.3,16,上海市,121.7510582,31.04864298
快餐, 浦东新区,30,6.7,7.4,7.1,43,上海市,121.7510405,31.04543883
西餐, 浦东新区,178,7.7,7.6,7.5,17,上海市,121.7509115,31.04413057
美食, 浦东新区,4,7.4,7.4,7.4,19,上海市,121.7508073,31.04556572
甜点, 浦东新区,183,7.5,7.4,7.3,30,上海市,121.7507984,31.04440839
快餐, 浦东新区,10,6.9,6.9,7,20,上海市,121.7507864,31.04428046
西餐, 浦东新区,188,8.6,8.6,8.7,48,上海市,121.7507794,31.04531686
西餐, 浦东新区,72,6.9,6.9,7,39,上海市,121.7506427,31.14770372
甜点, 浦东新区,144,7.3,7.5,7.4,36,上海市,121.7506427,31.14770372
快餐, 浦东新区,24,7.1,7.2,7.1,18,上海市,121.7503378,31.17990098
西餐, 浦东新区,199,7.4,7.4,7.6,30,上海市,121.7503299,31.04813215
西餐, 浦东新区,21,7.2,7.1,7,43,上海市,121.7502528,31.17854765
烧烤, 浦东新区,33,7.3,7.3,7.3,56,上海市,121.7501248,31.1785996
咖啡厅, 浦东新区,110,7.4,7.7,7.5,62,上海市,121.750001,31.04512584
快餐, 浦东新区,90,7.8,8.3,8.1,65,上海市,121.7499807,31.04813709
川菜, 浦东新区,111,7.8,7.7,7.6,63,上海市,121.7492673,31.17869943
川菜, 浦东新区,22,7,6.8,7,43,上海市,121.7492673,31.17869943
粤菜, 浦东新区,333,8.7,7.9,8,48,上海市,121.7492673,31.17869943
粤菜, 浦东新区,39,7.3,7.4,7.4,44,上海市,121.7492673,31.17869943
北菜, 浦东新区,18,7.5,7.5,7.6,40,上海市,121.7492673,31.17869943
北菜, 浦东新区,14,7.1,7,7,62,上海市,121.7492673,31.17869943
料理, 浦东新区,153,7.3,7.4,7.5,81,上海市,121.7492673,31.17869943
西餐, 浦东新区,33,6.5,6.6,6.6,17,上海市,121.7492673,31.17869943
甜点, 浦东新区,10,7,7,7,24,上海市,121.7492673,31.17869943
咖啡厅, 浦东新区,16,6.9,7,6.8,51,上海市,121.7492673,31.17869943
快餐, 浦东新区,11,6.8,6.8,6.7,12,上海市,121.7492673,31.17869943
烧烤, 浦东新区,4,7.7,7.5,7.6,44,上海市,121.7490857,31.17316423
浙菜, 浦东新区,86,7,6.9,6.4,79,上海市,121.7480076,31.18034247
湘菜, 浦东新区,21,7.4,7,7.5,40,上海市,121.7479607,31.1788952
粤菜, 浦东新区,79,8,7.7,7.7,23,上海市,121.7479097,31.17915707
湘菜, 浦东新区,20,7.3,6.8,7.1,49,上海市,121.7477986,31.17972477
浙菜, 浦东新区,51,7,7,7,85,上海市,121.747663,31.04382235
海鲜, 浦东新区,33,7.3,7.3,7.3,102,上海市,121.7475646,31.17789569
火锅, 浦东新区,595,7.8,7.9,7.7,94,上海市,121.7468938,31.04282389
快餐, 浦东新区,82,7.3,7.3,7.3,23,上海市,121.7468938,31.04282389
火锅, 浦东新区,56,7,6.9,7.1,93,上海市,121.7467922,31.04896732
龙虾, 浦东新区,135,7.8,7.5,7.9,93,上海市,121.7467681,31.04989279
川菜, 浦东新区,498,7.8,7.6,7.5,86,上海市,121.7467017,31.04258502
海鲜, 浦东新区,43,7.5,7.4,7.4,39,上海市,121.7466097,31.04285586
浙菜, 浦东新区,65,7,6.9,6.9,69,上海市,121.7463682,31.17777171
火锅, 浦东新区,14,6.6,6.8,6.5,95,上海市,121.746336,31.05001371
川菜, 浦东新区,267,7.4,7.1,7.3,95,上海市,121.7461241,31.17775671
浙菜, 浦东新区,19,7,7.2,7.1,47,上海市,121.7457507,31.14517066
海鲜, 浦东新区,21,7.3,7.5,7.4,146,上海市,121.7456465,31.17086423
火锅, 浦东新区,26,7.5,7.4,7.3,74,上海市,121.7455289,31.17769475
龙虾, 浦东新区,24,7.2,6.9,7.1,60,上海市,121.7454349,31.17768775
浙菜, 浦东新区,8,7.2,7.2,7.2,50,上海市,121.7454311,30.97378851
咖啡厅, 浦东新区,30,6.8,6.9,6.9,41,上海市,121.7447792,31.04133977
浙菜, 浦东新区,26,7.3,7.5,7.4,73,上海市,121.7446564,31.14480989
助餐, 浦东新区,509,7.4,7.7,7.5,119,上海市,121.7445915,31.04917223
美食, 浦东新区,4,7.5,7.4,7.5,72,上海市,121.7445565,31.04864554
咖啡厅, 浦东新区,35,7.4,7.6,7.5,47,上海市,121.7445523,31.05141494
浙菜, 浦东新区,22,7.3,7,7.1,104,上海市,121.744494,31.05505184
川菜, 浦东新区,70,7.4,7,7.3,42,上海市,121.7444691,31.05377058
川菜, 浦东新区,79,7.8,8.2,8.1,89,上海市,121.74436,31.0537606
火锅, 浦东新区,27,7.9,7.8,7.9,83,上海市,121.7430597,31.05424043
快餐, 浦东新区,98,7.8,6.7,6.8,14,上海市,121.7422673,31.17582196
快餐, 浦东新区,8,7.1,7.1,7.4,18,上海市,121.742281,30.96567259
浙菜, 浦东新区,32,7.2,7.2,7.3,71,上海市,121.7421912,31.17669353
烧烤, 浦东新区,39,7.5,7.1,7.5,40,上海市,121.7420981,31.17755211
美食, 浦东新区,31,6.6,6.6,6.6,22,上海市,121.7416457,31.05170409
龙虾, 浦东新区,1,7,7,7,43,上海市,121.741645,31.04785132
火锅, 浦东新区,25,6.5,6.9,6.5,89,上海市,121.741643,31.04781734
火锅, 浦东新区,8,7.4,7.3,7.4,56,上海市,121.7416379,31.04819513
快餐, 浦东新区,11,7.2,7.1,7.2,58,上海市,121.7416328,31.05010002
甜点, 浦东新区,48,7.6,7.6,7.8,88,上海市,121.7416319,31.04848896
川菜, 浦东新区,4361,8.8,8.2,8.4,76,上海市,121.7415869,31.04891172
北菜, 浦东新区,50,7.3,7.5,7.2,53,上海市,121.7415579,31.04886275
湘菜, 浦东新区,93,7.4,7.3,7.3,57,上海市,121.7414229,31.04869887
川菜, 浦东新区,16,7.8,7.7,7.7,100,上海市,121.741318,31.0471278
浙菜, 浦东新区,283,8.1,7.4,7.3,61,上海市,121.7413068,31.04927856
火锅, 浦东新区,752,8.7,8,7.8,79,上海市,121.74128,31.04676302
甜点, 浦东新区,44,7.1,7.2,7.1,41,上海市,121.7412701,31.04626731
西餐, 浦东新区,998,7.6,7.6,7.2,76,上海市,121.7412089,31.04840708
浙菜, 浦东新区,36,7.4,7.2,7.3,60,上海市,121.7411964,31.05394988
浙菜, 浦东新区,24,7.1,7.1,7.1,62,上海市,121.7411873,31.05494031
浙菜, 浦东新区,579,7.5,7.1,7.2,93,上海市,121.7409354,31.04146216
浙菜, 浦东新区,636,7.8,7.7,7.7,78,上海市,121.740867,31.1773974
火锅, 浦东新区,505,8.8,8.7,8.2,82,上海市,121.7408404,31.04212379
湘菜, 浦东新区,595,7.8,7.9,7.7,58,上海市,121.7404433,31.04281547
粤菜, 浦东新区,44,7.3,7,7.3,49,上海市,121.7399362,31.04259271
浙菜, 浦东新区,89,7.9,7.5,7.3,100,上海市,121.7398983,31.18456998
粤菜, 浦东新区,0,0,0,0,31,上海市,121.7398983,31.18456998
火锅, 浦东新区,60,7,6.9,6.9,42,上海市,121.7398192,31.04253677
快餐, 浦东新区,115,7.1,6.9,6.7,17,上海市,121.7394057,31.04888119
火锅, 浦东新区,161,7.7,7.5,7.6,81,上海市,121.7387637,31.04873445
快餐, 松江区,117,6.9,6.4,6.7,8,上海市,121.7384743,31.05322793
浙菜, 浦东新区,60,6.8,7,6.9,68,上海市,121.7383186,31.03794484
快餐, 浦东新区,92,7.6,7.4,7.5,46,上海市,121.7380926,31.04909543
快餐, 浦东新区,2,7.3,7.2,7.2,19,上海市,121.7379714,31.04032056
甜点, 浦东新区,413,7.9,7.8,8.1,73,上海市,121.7378703,31.04122507
快餐, 浦东新区,30,7.3,7.2,7.3,18,上海市,121.7375884,31.04024173
浙菜, 浦东新区,175,8.1,8,8.1,84,上海市,121.7374783,31.05384188
浙菜, 浦东新区,422,8.3,7,7.1,61,上海市,121.7374301,31.05634645
浙菜, 浦东新区,90,6.6,6.7,6.7,115,上海市,121.7374262,31.05486531
美食, 浦东新区,166,7.6,7.7,7.7,64,上海市,121.7373115,31.03883863
快餐, 浦东新区,6,7.4,7.4,7.4,15,上海市,121.7372484,31.04078552
海鲜, 浦东新区,116,7.8,7.2,7.2,152,上海市,121.7367735,31.03916163
咖啡厅, 浦东新区,306,7.5,7.5,7.4,101,上海市,121.7366046,31.03803334
咖啡厅, 浦东新区,165,7.6,7.8,7.7,69,上海市,121.7365567,31.04888306
浙菜, 浦东新区,41,7.2,7,7.1,44,上海市,121.7365128,31.03623842
海鲜, 浦东新区,30,7.1,7.1,7.1,147,上海市,121.7363847,31.03742578
美食, 浦东新区,21,7.3,7.2,7.4,50,上海市,121.7362056,31.03845125
浙菜, 浦东新区,51,7.6,7.5,7.4,157,上海市,121.7361736,31.03859917
浙菜, 浦东新区,121,6.9,6.8,6.6,55,上海市,121.7361178,31.04882725
烧烤, 浦东新区,558,7.9,8.1,8.3,81,上海市,121.7360317,31.03803255
咖啡厅, 浦东新区,51,6.6,7,6.6,72,上海市,121.7358268,31.03665743
咖啡厅, 浦东新区,154,7.2,7.7,7.4,57,上海市,121.7358107,31.03802864
浙菜, 浦东新区,40,6.9,6.9,6.8,54,上海市,121.7357543,31.17390967
西餐, 浦东新区,61,7.2,7.6,7,36,上海市,121.7357543,31.17390967
粤菜, 浦东新区,30,6.7,8.3,7.6,54,上海市,121.7354493,31.17378885
火锅, 浦东新区,93,7.4,7,7.2,82,上海市,121.7354493,31.17378885
美食, 浦东新区,13,7.2,7.3,7,46,上海市,121.7354493,31.17378885
海鲜, 浦东新区,55,6.9,7.1,7,153,上海市,121.7353483,31.05537077
咖啡厅, 浦东新区,86,7.4,7.8,7.5,31,上海市,121.7349565,31.04180379
烧烤, 浦东新区,8,6.9,6.9,6.9,40,上海市,121.7348842,31.05759868
甜点, 浦东新区,2,7.2,7.1,7.1,10,上海市,121.7347706,31.04160598
北菜, 浦东新区,0,0,0,0,33,上海市,121.73441,31.04943859
浙菜, 浦东新区,408,7.7,8,7.5,87,上海市,121.7343636,31.0420529
浙菜, 浦东新区,39,7.8,8.4,8.1,91,上海市,121.7343636,31.0420529
浙菜, 浦东新区,122,6.5,6.9,6.8,72,上海市,121.7343636,31.0420529
烧烤, 浦东新区,327,7.2,7.6,7.6,83,上海市,121.7343636,31.0420529
川菜, 浦东新区,16,7.2,7.5,7.2,87,上海市,121.7343636,31.0420529
粤菜, 浦东新区,829,7.7,8.4,7.9,84,上海市,121.7343636,31.0420529
火锅, 浦东新区,290,7.6,7.8,7.6,134,上海市,121.7343636,31.0420529
火锅, 浦东新区,116,6.8,6.6,6.8,87,上海市,121.7343636,31.0420529
火锅, 浦东新区,65,7.2,7.4,7.4,68,上海市,121.7343636,31.0420529
快餐, 浦东新区,133,7.2,7.3,6.8,27,上海市,121.7343636,31.0420529
本菜, 浦东新区,302,7.9,8.3,8.2,157,上海市,121.7343636,31.0420529
本菜, 浦东新区,57,7,7.3,7.3,118,上海市,121.7343636,31.0420529
料理, 浦东新区,643,8.7,9,9,101,上海市,121.7343636,31.0420529
料理, 浦东新区,482,7.9,8.1,8.1,79,上海市,121.7343636,31.0420529
西餐, 浦东新区,357,7.1,7.5,7.4,86,上海市,121.7343636,31.0420529
甜点, 浦东新区,166,8.4,8.4,8.2,18,上海市,121.7343636,31.0420529
咖啡厅, 浦东新区,52,7.5,8.1,8,43,上海市,121.7343636,31.0420529
甜点, 浦东新区,102,7.4,7.6,7.4,24,上海市,121.7343636,31.0420529
海鲜, 浦东新区,560,9,8.8,8.6,159,上海市,121.7343636,31.0420529
海鲜, 浦东新区,177,7.4,7.7,7.6,82,上海市,121.7343636,31.0420529
北菜, 浦东新区,398,7,7.4,6.9,78,上海市,121.7343636,31.0420529
甜点, 浦东新区,57,7.5,7.6,7.6,17,上海市,121.7343636,31.0420529
湘菜, 浦东新区,2,6.9,6.9,6.9,35,上海市,121.7341949,31.038574
浙菜, 浦东新区,197,7.4,7,7.3,122,上海市,121.7338688,31.19509481
快餐, 浦东新区,28,7.6,7.7,7.6,40,上海市,121.7337167,31.17315692
火锅, 浦东新区,231,8.9,8.4,8.9,62,上海市,121.7337075,31.17462817
烧烤, 浦东新区,20,7.5,7.3,7.6,44,上海市,121.7327912,31.03851569
浙菜, 浦东新区,73,7.3,7.3,6.7,94,上海市,121.7326239,31.05531904
浙菜, 浦东新区,73,7.6,7.6,7.5,90,上海市,121.7318025,30.96691141
浙菜, 浦东新区,108,7.2,7.1,7.1,75,上海市,121.7317812,31.04196421
浙菜, 浦东新区,78,7,7,6.7,117,上海市,121.7316576,31.03826742
美食, 浦东新区,4,7,6.9,7,40,上海市,121.7312634,31.04130487
浙菜, 浦东新区,128,7.3,7.2,7.1,69,上海市,121.7307866,31.20738937
快餐, 浦东新区,829,7.6,7.6,7.6,27,上海市,121.7307908,31.05084461
烧烤, 浦东新区,3113,8.3,8.3,8.1,82,上海市,121.7307908,31.05084461
川菜, 浦东新区,3,7.2,7.1,7.2,47,上海市,121.7303768,31.15891304
川菜, 浦东新区,596,8.3,8.3,7.9,51,上海市,121.730379,31.05044708
火锅, 浦东新区,394,7.4,7.3,7.3,67,上海市,121.730379,31.05044708
快餐, 浦东新区,345,7.3,7.5,7.4,38,上海市,121.730379,31.05044708
西餐, 浦东新区,180,7.6,7.3,7.3,38,上海市,121.730379,31.05044708
甜点, 浦东新区,25,7,7,6.9,11,上海市,121.730379,31.05044708
北菜, 浦东新区,0,0,0,0,52,上海市,121.7296439,31.1731731
浙菜, 浦东新区,30,7.6,7,7.2,113,上海市,121.728972,31.23360206
常菜, 浦东新区,22,7.6,7.4,7.5,60,上海市,121.7276331,31.21605718
浙菜, 浦东新区,41,8.4,8.2,8.4,94,上海市,121.7264103,31.1498464
快餐, 浦东新区,25,7.1,6.9,6.9,14,上海市,121.7262518,31.21578029
浙菜, 浦东新区,32,7.3,7.1,7.2,55,上海市,121.722673,31.15650886
西餐, 浦东新区,2,6.9,6.9,6.9,65,上海市,121.7222842,31.1570889
海鲜, 浦东新区,16,7,7.1,7,76,上海市,121.7202153,31.20948737
浙菜, 浦东新区,38,7.7,7.5,7.6,78,上海市,121.7199573,31.23568327
浙菜, 浦东新区,43,7.5,7.2,7.3,73,上海市,121.7193365,31.23890439
火锅, 浦东新区,56,7.5,7.4,7.4,61,上海市,121.7189741,31.23558027
快餐, 浦东新区,30,7.1,7.1,7.2,18,上海市,121.7189549,31.23777628
火锅, 浦东新区,22,7.4,7.4,7.4,60,上海市,121.7188731,31.23548841
浙菜, 浦东新区,32,7.4,7.1,7.4,59,上海市,121.7182894,31.23870851
火锅, 浦东新区,65,7.8,7.2,7.1,115,上海市,121.7180885,31.23867773
